0.564 + (2e-06***),0.568 + (2e-06***),0.578
0.559 + (5e-07***),0.565 + (2e-05***),0.57
0.558 + (6e-08***),0.564 + (5e-07***),0.573
0.556 + (4e-10***),0.561 + (2e-06***),0.569
